product_id,status,is_intermittent,algorithm_used,history_days,total_sales,holdout_actual_total,best_mae,best_rmse,best_mape,best_smape,best_pred_total,croston_mape,croston_smape,croston_mae,prophet_mape,prophet_smape,prophet_mae,baseline_mape,baseline_mae
4,evaluated,True,croston_sba,210,13,3.0,0.2,0.539,96.4,199.5,3.2,96.4,199.5,0.2,100.0,200.0,0.101,33.3,1.967
5,evaluated,True,croston_sba,205,9,2.0,0.112,0.25,94.8,198.7,1.6,94.8,198.7,0.112,95.4,197.5,0.1,100.0,1.933
6,evaluated,True,croston_sba,178,6,2.0,0.107,0.25,95.3,198.8,1.4,95.3,198.8,0.107,100.0,200.0,0.067,100.0,1.933
7,evaluated,True,croston_sba,141,18,1.0,0.216,0.242,80.4,197.8,5.9,80.4,197.8,0.216,95.0,199.4,0.095,100.0,1.967
8,evaluated,True,croston_sba,199,21,1.0,0.126,0.191,90.1,198.8,3.0,90.1,198.8,0.126,100.0,200.0,0.035,100.0,1.967
9,evaluated,True,croston_sba,85,7,3.0,0.257,0.315,80.4,193.4,5.9,80.4,193.4,0.257,86.9,194.3,0.163,100.0,1.9
10,evaluated,True,croston_sba,83,4,2.0,0.31,0.408,87.0,198.5,7.8,87.0,198.5,0.31,100.0,200.0,0.067,0.0,1.933
11,evaluated,True,croston_sba,175,32,3.0,0.205,0.302,86.8,195.3,4.0,86.8,195.3,0.205,100.0,200.0,0.1,100.0,1.9
12,evaluated,True,croston_sba,61,5,2.0,0.503,0.503,49.7,191.1,15.1,49.7,191.1,0.503,99.8,200.0,0.069,100.0,1.933
13,evaluated,True,croston_sba,76,10,3.0,0.245,0.401,87.5,197.1,5.0,87.5,197.1,0.245,100.0,200.0,0.123,50.0,1.9
14,evaluated,True,croston_sba,155,24,3.0,0.21,0.302,86.2,195.2,4.1,86.2,195.2,0.21,100.0,200.0,0.1,100.0,1.9
15,evaluated,True,croston_sba,220,29,1.0,0.189,0.224,83.3,198.1,5.0,83.3,198.1,0.189,91.6,199.0,0.122,100.0,1.967
16,evaluated,True,croston_sba,109,12,4.0,0.229,0.427,90.0,196.4,3.6,90.0,196.4,0.229,100.0,200.0,0.288,66.7,1.867
17,evaluated,True,croston_sba,62,7,2.0,0.396,0.401,62.0,192.7,11.4,62.0,192.7,0.396,100.0,200.0,0.067,100.0,1.933
18,evaluated,True,croston_sba,219,37,5.0,0.228,0.38,90.9,194.4,2.7,90.9,194.4,0.228,100.0,200.0,0.167,100.0,1.833
19,evaluated,True,croston_sba,224,37,1.0,0.174,0.215,84.9,198.2,4.5,84.9,198.2,0.174,95.8,199.5,0.079,100.0,1.967
20,evaluated,True,croston_sba,96,8,3.0,0.262,0.317,79.8,193.3,6.1,79.8,193.3,0.262,99.7,199.9,0.102,100.0,1.9
21,skipped_short,,,3,2,,,,,,,,,,,,,,
22,evaluated,True,croston_sba,161,17,3.0,0.231,0.307,83.6,194.4,4.9,83.6,194.4,0.231,100.0,200.0,0.1,100.0,1.9
23,evaluated,True,croston_sba,211,21,5.0,0.215,0.384,92.7,195.5,2.2,92.7,195.5,0.215,100.0,200.0,0.167,100.0,1.833
24,evaluated,True,croston_sba,229,71,8.0,0.544,0.659,58.9,177.2,13.9,58.9,177.2,0.544,86.8,190.6,0.415,88.9,1.8
