product_id,category,current_cost,current_sale_price,pred_price,error,abs_error,pct_error,product_age_days,days_since_last_sale,total_sales_all_time,current_stock
4,Caballeros,20.0,38.0,41.62,3.6199999999999974,3.6199999999999974,9.5,233,19,13,19
5,Caballeros,33.0,68.0,60.81,-7.189999999999998,7.189999999999998,10.6,233,23,9,28
6,Caballeros,32.0,68.0,58.29,-9.71,9.71,14.3,233,46,6,30
7,Niños,37.0,65.0,64.22,-0.7800000000000011,0.7800000000000011,1.2,233,88,18,22
8,Caballeros,13.0,38.0,29.05,-8.95,8.95,23.6,233,32,21,14
9,Caballeros,13.0,28.0,27.03,-0.9699999999999989,0.9699999999999989,3.5,233,135,7,3
10,Caballeros,32.0,58.0,56.51,-1.490000000000002,1.490000000000002,2.6,233,147,4,16
11,Niños,13.0,32.0,27.2,-4.800000000000001,4.800000000000001,15.0,233,51,32,38
12,Caballeros,18.0,38.0,34.34,-3.6599999999999966,3.6599999999999966,9.6,233,156,5,6
13,Caballeros,43.0,68.0,73.67,5.670000000000002,5.670000000000002,8.3,233,154,10,10
14,Caballeros,33.0,58.0,59.9,1.8999999999999986,1.8999999999999986,3.3,233,75,24,17
15,Damas,19.0,38.0,41.37,3.3699999999999974,3.3699999999999974,8.9,233,10,29,4
16,Damas,20.0,38.0,39.97,1.9699999999999989,1.9699999999999989,5.2,233,124,12,0
17,Damas,20.0,38.0,39.04,1.0399999999999991,1.0399999999999991,2.7,233,167,7,2
18,Damas,17.0,38.0,39.11,1.1099999999999994,1.1099999999999994,2.9,233,13,37,8
19,Damas,17.0,38.0,38.31,0.3100000000000023,0.3100000000000023,0.8,233,8,37,7
20,Damas,14.0,35.0,30.34,-4.66,4.66,13.3,233,130,8,0
21,Damas,50.0,75.0,85.14,10.14,10.14,13.5,233,215,2,0
22,Damas,38.0,68.0,69.34,1.3400000000000034,1.3400000000000034,2.0,233,71,17,15
23,Damas,19.0,40.0,41.87,1.8699999999999974,1.8699999999999974,4.7,233,19,21,24
24,Damas,38.0,68.0,75.89,7.890000000000001,7.890000000000001,11.6,233,4,71,23
25,Damas,42.0,68.0,77.87,9.870000000000005,9.870000000000005,14.5,233,14,32,14
26,Damas,46.0,75.0,83.21,8.209999999999994,8.209999999999994,10.9,233,21,15,10
27,Damas,28.0,48.0,55.06,7.060000000000002,7.060000000000002,14.7,233,25,17,14
28,Damas,29.0,52.0,56.6,4.600000000000001,4.600000000000001,8.8,233,16,14,4
29,Damas,23.0,48.0,47.3,-0.7000000000000028,0.7000000000000028,1.5,233,17,16,14
30,Damas,27.0,48.0,53.54,5.539999999999999,5.539999999999999,11.5,233,13,11,4
31,Caballeros,37.0,68.0,63.28,-4.719999999999999,4.719999999999999,6.9,233,185,8,4
32,Damas,24.0,48.0,50.28,2.280000000000001,2.280000000000001,4.8,231,17,19,37
33,Damas,23.0,48.0,48.58,0.5799999999999983,0.5799999999999983,1.2,231,2,19,36
34,Damas,33.0,52.0,61.77,9.770000000000003,9.770000000000003,18.8,229,55,3,6
35,Damas,38.0,58.0,66.02,8.019999999999996,8.019999999999996,13.8,229,229,0,4
36,Damas,40.0,68.0,69.93,1.9300000000000068,1.9300000000000068,2.8,229,180,5,3
37,Damas,38.0,68.0,68.79,0.7900000000000063,0.7900000000000063,1.2,229,80,5,0
38,Damas,35.0,68.0,66.32,-1.6800000000000068,1.6800000000000068,2.5,229,8,12,10
39,Damas,35.0,68.0,65.79,-2.2099999999999937,2.2099999999999937,3.2,229,16,16,3
40,Damas,44.0,78.0,79.15,1.1500000000000057,1.1500000000000057,1.5,229,39,7,10
